run,train_f1,test_f1,test_acc,test_bacc
1,0.875993640699523,0.6762264150943397,0.717948717948718,0.7120689655172414
2,0.8349206349206348,0.8119575699132112,0.8717948717948718,0.7827586206896552
3,0.7837701612903225,0.7936507936507936,0.8717948717948718,0.75
4,0.9016449819453201,0.8655172413793104,0.8974358974358975,0.8655172413793104
5,0.8623991935483871,0.8194444444444444,0.8461538461538461,0.8637931034482759
6,0.8093945153407549,0.7388392857142857,0.8461538461538461,0.7
7,0.8223353654451665,0.6517857142857143,0.7948717948717948,0.6327586206896552
8,0.8471687022402195,0.5237449118046132,0.7692307692307693,0.55
9,0.8349206349206348,0.685483870967742,0.7948717948717948,0.6655172413793103
10,0.8871745419479267,0.676923076923077,0.8205128205128205,0.65
