run,train_f1,test_f1,test_acc,test_bacc
1,0.9568941696601271,0.9075098814229249,0.9230769230769231,0.9482758620689655
2,0.9658119658119657,0.7564674397859055,0.8205128205128205,0.7482758620689656
3,0.8764544623819677,0.7641129032258065,0.8461538461538461,0.7327586206896552
4,0.9447461629279811,0.7833333333333333,0.8461538461538461,0.7655172413793103
5,0.9561181434599156,0.784189723320158,0.8205128205128205,0.8137931034482759
6,0.908289241622575,0.7982758620689655,0.8461538461538461,0.7982758620689655
7,0.9552931736115091,0.8956289027653881,0.9230769230769231,0.8827586206896552
8,0.8707209791547141,0.5846153846153846,0.7692307692307693,0.5827586206896552
9,0.9447461629279811,0.7367405978784957,0.8205128205128205,0.7155172413793103
10,0.8931174089068826,0.711111111111111,0.8205128205128205,0.6827586206896552
